ID	start	end	strand
gene_13164	5022	23194	-1
gene_13165	40014	45938	-1
gene_13166	92876	97357	-1
gene_12497	99657	102434	1
gene_13167	106482	122413	-1
gene_13168	129453	131721	-1
gene_13169	136345	138894	-1
gene_12498	153957	155426	1
gene_12499	160577	174814	1
gene_13170	162951	164154	-1
gene_12500	180368	210439	1
gene_12501	213271	215970	1
gene_12502	222392	242771	1
gene_12503	263024	268872	1
gene_12504	300530	305734	1
gene_12505	307470	323000	1
gene_13171	325899	329503	-1
gene_12506	331254	331864	1
gene_13172	336836	339643	-1
gene_13173	392002	398447	-1
gene_13174	405175	406848	-1
gene_12507	423956	425428	1
gene_13175	440161	456204	-1
gene_12508	470064	486069	1
gene_12509	493672	500208	1
gene_13176	506112	513904	-1
gene_12510	521954	533180	1
gene_13177	542145	544259	-1
gene_12511	553557	556579	1
gene_12512	565128	570419	1
gene_13178	572614	577876	-1
gene_13179	588635	594570	-1
gene_12513	671394	676771	1
gene_12514	677237	678058	1
gene_12515	687397	688867	1
gene_12516	796540	797583	1
gene_13180	802557	806424	-1
gene_13181	815291	816590	-1
gene_13182	842583	850774	-1
gene_13183	855189	862855	-1
gene_12517	864696	871490	1
gene_13184	904068	905358	-1
gene_12518	911660	959175	1
gene_13185	960977	964539	-1
gene_12519	973862	977975	1
gene_13186	981704	989403	-1
gene_13187	993254	1008293	-1
gene_12520	1018270	1021848	1
gene_12521	1030668	1038414	1
gene_13188	1040222	1044530	-1
gene_12522	1054921	1062111	1
gene_12523	1075336	1087018	1
gene_13189	1087992	1091567	-1
gene_12524	1097109	1098470	1
gene_13190	1121524	1122924	-1
gene_13191	1159516	1165268	-1
gene_13192	1174352	1175894	-1
gene_12525	1180954	1182226	1
gene_12526	1267817	1269091	1
gene_13193	1269855	1273879	-1
gene_12527	1297914	1301207	1
gene_12528	1310407	1314932	1
gene_12529	1317066	1317707	1
gene_13194	1318444	1323645	-1
gene_13195	1327640	1329708	-1
gene_13196	1347487	1347975	-1
gene_13197	1363794	1364618	-1
gene_13198	1383791	1389102	-1
gene_12530	1483490	1486331	1
gene_13199	1489147	1491271	-1
gene_12531	1493493	1494298	1
gene_13200	1498078	1500454	-1
gene_13201	1513467	1566606	-1
gene_12532	1522094	1523638	1
gene_12533	1524165	1525694	1
gene_13202	1550140	1551365	-1
gene_12534	1592981	1598407	1
gene_13203	1603714	1605985	-1
gene_12535	1608890	1610101	1
gene_13204	1613143	1614120	-1
gene_13205	1619595	1620607	-1
gene_13206	1621768	1630919	-1
gene_12536	1638438	1638744	1
gene_12537	1643381	1647135	1
gene_12538	1650002	1651618	1
gene_12539	1677128	1685059	1
gene_12540	1696561	1699127	1
gene_12541	1798142	1801025	1
gene_13207	1802362	1803102	-1
gene_13208	1811814	1814272	-1
gene_12542	1815680	1827305	1
gene_13209	1817237	1821768	-1
gene_13210	1852401	1852993	-1
gene_13211	1856685	1857225	-1
gene_13212	1860676	1861567	-1
gene_13213	1863233	1889973	-1
gene_12543	1896897	1899669	1
gene_12544	1918539	1919789	1
gene_12545	1984746	1988611	1
gene_13214	1990500	1991161	-1
gene_13215	1994493	1995652	-1
gene_13216	1997294	1998154	-1
gene_12546	1999363	2000556	1
gene_13217	2027132	2029723	-1
gene_12547	2052012	2073010	1
gene_13218	2077510	2085057	-1
gene_12548	2090151	2096128	1
gene_12549	2097903	2099198	1
gene_12550	2101823	2103565	1
gene_12551	2107389	2113502	1
gene_13219	2117006	2119111	-1
gene_12552	2122757	2131805	1
gene_13220	2124774	2128909	-1
gene_12553	2137456	2142293	1
gene_13221	2142644	2143103	-1
gene_12554	2144457	2147316	1
gene_12555	2155800	2160786	1
gene_12556	2162542	2167045	1
gene_13222	2168733	2171941	-1
gene_12557	2181341	2200691	1
gene_12558	2205789	2210630	1
gene_12559	2211020	2214054	1
gene_13223	2214628	2215394	-1
gene_13224	2218253	2225831	-1
gene_12560	2230265	2237385	1
gene_13225	2240038	2244847	-1
gene_13226	2251326	2264259	-1
gene_12561	2356253	2373582	1
gene_13227	2379865	2381914	-1
gene_12562	2386756	2392200	1
gene_13228	2448424	2448771	-1
gene_13229	2497158	2497458	-1
gene_13230	2498119	2498378	-1
gene_12563	2508208	2519450	1
gene_12564	2522576	2524922	1
gene_12565	2525497	2527250	1
gene_12566	2529257	2530424	1
gene_13231	2749917	2753212	-1
gene_13232	2776190	2784176	-1
gene_12567	2826713	2829752	1
gene_12568	2855243	2868880	1
gene_13233	2860793	2862582	-1
gene_13234	2875248	2882418	-1
gene_13235	2884851	2888346	-1
gene_13236	2896337	2897011	-1
