ID	start	end	strand
gene-LOC120906950	59885	60345	-1
gene-LOC120906947	61728	64249	1
gene-LOC120906949	88010	88555	-1
gene-LOC120906948	90190	90789	-1
gene-LOC120906980	657	1316	-1
gene-LOC120906964	23986	24588	1
gene-LOC120906966	26497	26764	1
gene-LOC120906965	51121	51663	-1
gene-LOC120906963	53297	53859	-1
gene-LOC120906959	69497	70001	1
gene-LOC120906961	70924	71371	-1
gene-LOC120906962	71557	71995	1
gene-LOC120906952	78759	79204	-1
gene-LOC120906954	79451	81379	-1
gene-LOC120906955	83637	84577	-1
gene-LOC120906956	85145	93483	1
gene-LOC120906970	87205	87643	1
gene-LOC120906979	92415	94641	-1
gene-LOC120906973	100731	101166	1
gene-LOC120906976	105927	106263	-1
gene-LOC120906957	106491	120517	1
gene-LOC120906969	107918	108327	-1
gene-LOC120906971	114238	114676	1
gene-LOC120906978	119449	121676	-1
gene-LOC120906968	121441	121877	-1
gene-LOC120906972	127757	128195	1
gene-LOC120906977	132977	133313	-1
gene-LOC120906967	139221	139659	1
gene-LOC120906958	145232	148141	1
gene-LOC120894400	60775	69212	1
gene-LOC120894399	70059	73055	1
gene-LOC120908476	75743	77420	1
gene-LOC120908475	77940	79364	1
gene-LOC120908474	79052	88494	-1
gene-LOC120904888	97776	98662	1
gene-LOC120904872	102291	119444	-1
gene-LOC120904869	120915	125873	-1
gene-LOC120901984	129641	137690	1
gene-LOC120902005	138657	140954	-1
gene-LOC120896127	143885	147700	1
gene-LOC120897343	148934	154152	1
gene-LOC120894225	172603	173449	1
gene-LOC120893800	217123	218301	1
gene-Trnai-uau	232436	232538	1
gene-LOC120894751	273776	291079	1
gene-LOC120893860	325546	329110	1
gene-LOC120893861	329117	330562	-1
gene-LOC120908473	330835	348484	1
gene-LOC120896208	350761	355075	1
gene-LOC120898503	355677	373888	1
gene-LOC120898506	368293	370708	-1
gene-LOC120898502	373849	392837	-1
gene-LOC120896221	396876	399258	1
gene-LOC120898511	400001	418835	-1
gene-LOC120898509	418693	420420	-1
gene-LOC120898507	420605	430456	1
gene-LOC120898512	426887	427675	1
gene-LOC120896242	442371	443348	-1
gene-LOC120898505	462503	482275	1
gene-LOC120896264	495716	497125	-1
gene-LOC120898508	503511	505002	1
gene-LOC120895332	511379	565928	1
gene-LOC120896713	566657	569480	1
gene-Trnaf-gaa	576374	576446	-1
gene-LOC120895045	576627	593998	-1
gene-Trnat-agu	577919	577992	-1
gene-LOC120896447	596267	604051	-1
gene-LOC120896471	604700	607036	1
gene-LOC120896455	607087	612425	-1
gene-LOC120896474	612634	614523	1
gene-LOC120896463	614507	617517	-1
gene-LOC120896500	617559	619253	1
gene-LOC120896479	618638	620779	-1
gene-LOC120896506	620769	622144	-1
gene-LOC120896492	622242	623629	1
gene-LOC120896432	623618	631701	-1
gene-LOC120898478	632288	633443	1
gene-LOC120898479	633388	634388	-1
gene-LOC120898475	634429	640168	1
gene-LOC120898482	636723	637908	1
gene-LOC120898476	640273	641915	-1
gene-LOC120898481	643010	644502	1
gene-LOC120898477	644472	646959	-1
gene-LOC120895701	647546	649043	1
gene-LOC120895700	649053	652067	-1
gene-LOC120894625	652359	653085	-1
gene-LOC120894619	653190	659425	-1
gene-LOC120894620	659735	661282	1
gene-LOC120894618	661385	665628	1
gene-LOC120894624	665802	677496	-1
gene-LOC120894626	670934	674258	1
gene-LOC120894622	677653	678793	1
gene-LOC120894621	678732	680549	-1
gene-LOC120898102	681293	682710	1
gene-LOC120898061	682711	687094	-1
gene-LOC120898093	687134	688846	1
gene-LOC120898049	689307	707369	-1
gene-LOC120898086	707768	709754	-1
gene-LOC120898078	709837	712388	1
gene-LOC120898069	712453	717248	-1
gene-LOC120898099	717595	719131	-1
gene-LOC120898150	720638	722430	-1
gene-LOC120898199	722578	723632	1
gene-LOC120898160	723268	724691	-1
gene-LOC120898166	725545	726977	1
gene-LOC120898115	726139	729708	-1
gene-LOC120898186	729688	730990	-1
gene-LOC120898192	731049	731990	1
gene-LOC120898104	732145	737570	1
gene-LOC120896273	736737	740132	-1
gene-LOC120898143	737698	743635	1
gene-LOC120898123	740161	742166	-1
gene-LOC120896294	743673	745068	1
gene-LOC120898134	744761	747682	1
gene-LOC120898202	746914	748382	-1
gene-LOC120898207	749175	749791	-1
gene-LOC120898121	750557	765483	1
gene-LOC120898198	769121	771435	1
gene-LOC120898170	771501	776663	-1
gene-LOC120893282	777196	828297	-1
gene-LOC120893283	777867	779427	-1
gene-LOC120894677	830627	831580	1
gene-LOC120894679	837185	838014	-1
gene-LOC120894676	842363	845734	1
gene-LOC120894808	852906	854274	1
gene-LOC120894986	854545	855384	1
gene-LOC120896346	862338	865264	-1
gene-LOC120897112	1021395	1190913	1
gene-LOC120897159	1068444	1069579	1
gene-LOC120896324	1194772	1195155	-1
gene-LOC120897594	1200259	1201316	1
gene-Trnas-aga	1205896	1205977	1
gene-LOC120893554	1217347	1263849	1
gene-LOC120893558	1232683	1233466	-1
gene-LOC120893560	1238577	1239149	1
gene-LOC120893559	1239546	1240416	1
gene-LOC120893557	1263898	1278834	-1
gene-LOC120893556	1268929	1277121	1
gene-LOC120897192	1279282	1280653	1
gene-LOC120897286	1286573	1293445	1
gene-LOC120897821	1293790	1295494	1
gene-LOC120897817	1295331	1306349	-1
gene-LOC120897820	1297000	1297988	1
gene-LOC120897819	1300462	1301496	1
gene-LOC120897818	1306388	1312793	1
gene-LOC120893765	1316915	1452509	-1
gene-LOC120893763	1424721	1427056	1
gene-LOC120897505	1515451	1519039	1
gene-LOC120896104	1522485	1535744	1
gene-LOC120896109	1545826	1546558	1
gene-LOC120896106	1548795	1567460	-1
gene-LOC120896108	1581386	1585811	1
gene-LOC120896107	1581702	1583879	-1
gene-LOC120896105	1586165	1590642	1
gene-LOC120896110	1590702	1606195	-1
